17:35:30.030 > ets Jul 29 2019 12:21:46
17:35:30.030 > 
17:35:30.030 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:35:30.030 > configsip: 0, SPIWP:0xee
17:35:30.030 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:35:30.030 > mode:DIO, clock div:2
17:35:30.030 > load:0x3fff0030,len:1184
17:35:30.030 > load:0x40078000,len:12776
17:35:30.030 > load:0x40080400,len:3032
17:35:30.030 > entry 0x400805e4
17:35:36.028 > 204987,0
17:35:36.043 > 204987,0
17:35:36.044 > 204987,0
17:35:36.060 > 204987,0
17:35:36.075 > 204987,0
17:35:36.076 > 204964,1
17:35:36.091 > 204964,1
17:35:36.108 > 204964,1
17:35:36.108 > 204964,1
17:35:36.124 > 204964,1
17:35:36.124 > 204964,1
17:35:36.139 > 204964,1
17:35:36.155 > 204964,1
17:35:36.156 > 204964,1
17:35:36.171 > 204964,1
17:35:36.187 > 205002,0
17:35:36.187 > 205002,0
17:35:36.203 > 205002,0
17:35:36.203 > 205002,0
17:35:36.219 > 205002,0
17:35:36.235 > 205002,0
17:35:36.235 > 205002,0
17:35:36.251 > 205002,0
17:35:36.267 > 205002,0
17:35:36.267 > 205002,0
17:35:36.283 > 204987,1
17:35:36.284 > 204987,1
17:35:36.299 > 204987,1
17:35:36.315 > 204987,1
17:35:36.316 > 204987,1
17:35:36.331 > 204987,1
17:35:36.347 > 204987,1
17:35:36.347 > 204987,1
17:35:36.363 > 204987,1
17:35:36.379 > 204987,1
17:35:36.380 > 204963,2
17:35:36.395 > 204963,2
17:35:36.395 > 204963,2
17:35:36.410 > 204963,2
17:35:36.427 > 204963,2
17:35:36.427 > 204963,2
17:35:36.443 > 204963,2
17:35:36.459 > 204963,2
17:35:36.459 > 204963,2
17:35:36.475 > 204963,2
17:35:36.476 > 204990,0
17:35:36.491 > 204990,0
17:35:36.507 > 204990,0
17:35:36.507 > 204990,0
17:35:36.523 > 204990,0
17:35:36.539 > 204990,0
17:35:36.539 > 204990,0
17:35:36.555 > 204990,0
17:35:36.555 > 204990,0
17:35:36.571 > 204990,0
17:35:36.587 > 204992,0
17:35:36.587 > 204992,0
17:35:36.603 > 204992,0
17:35:36.619 > 204992,0
17:35:36.619 > 204992,0
17:35:36.635 > 204992,0
17:35:36.637 > 204992,0
17:35:36.651 > 204992,0
17:35:36.667 > 204992,0
17:35:36.667 > 204992,0
17:35:36.682 > 204991,1
17:35:36.698 > 204991,1
17:35:36.699 > 204991,1
17:35:36.715 > 204991,1
17:35:36.715 > 204991,1
17:35:36.730 > 204991,1
17:35:36.746 > 204991,1
17:35:36.747 > 204991,1
17:35:36.763 > 204991,1
17:35:36.779 > 204991,1
17:35:36.779 > 204982,2
17:35:36.795 > 204982,2
17:35:36.795 > 204982,2
17:35:36.811 > 204982,2
17:35:36.827 > 204982,2
17:35:36.828 > 204982,2
17:35:36.843 > 204982,2
17:35:36.859 > 204982,2
17:35:36.859 > 204982,2
17:35:36.875 > 204975,3
17:35:36.875 > 204975,3
17:35:36.891 > 204975,3
17:35:36.906 > 204975,3
17:35:36.907 > 204975,3
17:35:36.923 > 204975,3
17:35:36.939 > 204975,3
17:35:36.940 > 204975,3
17:35:36.955 > 204975,3
17:35:36.956 > 204975,3
17:35:36.971 > 204968,4
17:35:36.986 > 204968,4
17:35:36.987 > 204968,4
17:35:37.003 > 204968,4
17:35:37.018 > 204968,4
17:35:37.021 > 204968,4
17:35:37.035 > 204968,4
17:35:37.035 > 204968,4
17:35:37.051 > 204968,4
17:35:37.066 > 204968,4
17:35:37.067 > 204959,5
17:35:37.083 > 204959,5
17:35:37.099 > 204959,5
17:35:37.099 > 204959,5
