19:20:49.557 > 
19:20:49.558 > Brownout detector was tri␏␀=␀�␀�␀ɕ�5Rj��ets Jul 29 2019 12:21:46
19:20:50.504 > 
19:20:50.504 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:50.524 > configsip: 0, SPIWP:0xee
19:20:50.524 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:20:50.524 > mode:DIO, clock div:2
19:20:50.524 > load:0x3fff0030,len:1184
19:20:50.524 > load:0x40078000,len:12776
19:20:50.524 > load:0x40080400,len:3032
19:20:50.524 > entry 0x400805e4
19:20:58.627 > 0,0
19:20:58.628 > 0,0
19:20:58.643 > 0,0
19:20:58.644 > 0,0
19:20:58.659 > 0,0
19:20:58.675 > 0,0
19:20:58.675 > 0,0
19:20:58.691 > 0,0
19:20:58.707 > 0,0
19:20:58.707 > 194464,0
19:20:58.723 > 194464,0
19:20:58.724 > 194464,0
19:20:58.739 > 194464,0
19:20:58.755 > 194464,0
19:20:58.756 > 194464,0
19:20:58.771 > 194464,0
19:20:58.788 > 194464,0
19:20:58.788 > 194464,0
19:20:58.803 > 194464,0
19:20:58.803 > 205090,-10626
19:20:58.820 > 205090,-10626
19:20:58.835 > 205090,-10626
19:20:58.836 > 205090,-10626
19:20:58.851 > 205090,-10626
19:20:58.867 > 205090,-10626
19:20:58.867 > 205090,-10626
19:20:58.883 > 205090,-10626
19:20:58.883 > 205090,-10626
19:20:58.900 > 205090,-10626
19:20:58.915 > 205098,-8
19:20:58.915 > 205098,-8
19:20:58.931 > 205098,-8
19:20:58.947 > 205098,-8
19:20:58.948 > 205098,-8
19:20:58.963 > 205098,-8
19:20:58.964 > 205098,-8
19:20:58.979 > 205098,-8
19:20:58.995 > 205098,-8
19:20:58.996 > 205098,-8
19:20:59.010 > 205117,-19
19:20:59.027 > 205117,-19
19:20:59.028 > 205117,-19
19:20:59.043 > 205117,-19
19:20:59.044 > 205117,-19
19:20:59.059 > 205117,-19
19:20:59.075 > 205117,-19
19:20:59.076 > 205117,-19
19:20:59.091 > 205076,-19
19:20:59.106 > 205076,-19
19:20:59.107 > 205076,-19
19:20:59.119 > 205076,-19
19:20:59.119 > 205076,-19
19:20:59.139 > 205076,-19
19:20:59.155 > 205076,-19
19:20:59.156 > 205076,-19
19:20:59.171 > 205076,-19
19:20:59.187 > 205076,-19
19:20:59.187 > 205112,-36
19:20:59.203 > 205112,-36
19:20:59.203 > 205112,-36
19:20:59.219 > 205112,-36
19:20:59.235 > 205112,-36
19:20:59.235 > 205112,-36
19:20:59.251 > 205112,-36
